# one hour of 5Hz jitter data
# from 24-hour data set generated 13apr2017 by tamz
# t,dq0,dq1,dq2,dq3
43,1.00000012704083,1.3197057593577e-06,1.88946802525194e-06,2.6037995904532e-07
43.2,1.00000012704056,1.49487088090591e-06,1.88605385221738e-06,3.40612839773435e-07
43.4000000000001,1.00000012704052,1.55539176545112e-06,1.84743163462314e-06,3.94541788552305e-07
43.6000000000001,1.00000012704034,1.63706661854539e-06,1.87943571573063e-06,3.75327837261186e-07
43.8,1.00000012704012,1.80757792635558e-06,1.84694557090956e-06,3.58693772156693e-07
44,1.0000001270401,1.8804311695186e-06,1.78256974132582e-06,3.38087893188288e-07
44.2,1.00000012703999,1.96060514767206e-06,1.77528109755049e-06,2.60324958714642e-07
44.4000000000001,1.00000012703989,2.08420708705092e-06,1.6952412008088e-06,2.04942070654301e-07
44.6000000000001,1.00000012704009,2.07224324606011e-06,1.59572803255792e-06,1.45937407484975e-07
44.8,1.00000012704018,2.04853813544348e-06,1.57619586489688e-06,1.06565718957508e-08
45,1.00000012704021,2.07652318933316e-06,1.51057740960595e-06,-1.26026345144414e-07
45.2,1.00000012704042,2.00780743729676e-06,1.44233878594455e-06,-2.91075164672583e-07
45.4000000000001,1.00000012704039,1.97696776629234e-06,1.44138245955147e-06,-5.29819680600285e-07
45.6000000000001,1.00000012704026,2.01586506953181e-06,1.37701121756539e-06,-7.49296636105845e-07
45.8,1.00000012704028,1.96132738916523e-06,1.29696688017447e-06,-9.69327647148965e-07
46,1.00000012704011,1.92871797339168e-06,1.26521621662823e-06,-1.22350151936929e-06
46.2,1.00000012703993,1.94002372408669e-06,1.17876278216481e-06,-1.42426556859476e-06
46.4000000000001,1.00000012703989,1.8493968692284e-06,1.09684694405213e-06,-1.62023384121801e-06
46.6000000000001,1.00000012703959,1.80283027901261e-06,1.06818773315531e-06,-1.86065751660303e-06
46.8,1.00000012703923,1.83472885827932e-06,9.86467829134502e-07,-2.05880981898887e-06
47,1.00000012703891,1.83041450293672e-06,9.09732124781265e-07,-2.24320965503538e-06
47.2,1.00000012703834,1.91356079401721e-06,8.69918545490234e-07,-2.43672794573296e-06
47.4000000000001,1.00000012703783,2.08079181519306e-06,7.70467192309776e-07,-2.54216206907465e-06
47.6000000000001,1.00000012703751,2.19250880162392e-06,6.61556455262835e-07,-2.60428928779838e-06
47.8,1.00000012703705,2.34264981764567e-06,5.76571421086192e-07,-2.66642908207382e-06
48,1.00000012703676,2.5176973805028e-06,4.36342170596904e-07,-2.64473236046003e-06
48.2,1.00000012703667,2.61196608171855e-06,2.96170084495423e-07,-2.60640745551599e-06
48.4000000000001,1.00000012703637,2.73877726541128e-06,1.79684910926042e-07,-2.6025888033715e-06
48.6000000000001,1.00000012703608,2.89229456146897e-06,2.37647788808859e-08,-2.55245620309902e-06
48.8,1.00000012703589,2.99083322957694e-06,-1.21595463774271e-07,-2.50942852898089e-06
49,1.00000012703546,3.13603098504086e-06,-2.43221925461112e-07,-2.49552369307321e-06
49.2,1.00000012703507,3.30836327996388e-06,-4.01020388885592e-07,-2.40528310050531e-06
49.4000000000001,1.0000001270349,3.41010658470777e-06,-5.44271661163942e-07,-2.30652325402397e-06
49.6000000000001,1.00000012703465,3.5077253707199e-06,-6.50808600455299e-07,-2.23884556439097e-06
49.8,1.00000012703458,3.57647883199828e-06,-7.63934050410781e-07,-2.12112465690362e-06
50,1.0000001270348,3.54738515095411e-06,-8.50247856766517e-07,-2.03368685302435e-06
50.2,1.00000012703488,3.51522768555265e-06,-9.1201471398572e-07,-2.02060033648033e-06
50.4000000000001,1.000000127035,3.47886303864176e-06,-9.88674061785932e-07,-1.98989111082487e-06
50.6000000000001,1.00000012703521,3.39576652618259e-06,-1.05033331786533e-06,-1.99725943159784e-06
50.8,1.00000012703527,3.33573782299468e-06,-1.10149170827814e-06,-2.04125039623276e-06
51,1.00000012703544,3.27320077413585e-06,-1.16467918681584e-06,-2.02025677996376e-06
51.2,1.00000012703579,3.15737485771968e-06,-1.21230416597062e-06,-2.00601280624102e-06
51.4000000000001,1.00000012703604,3.04188768006711e-06,-1.23995829467982e-06,-2.04346805857819e-06
51.6000000000001,1.0000001270364,2.90518266853231e-06,-1.25610048897634e-06,-2.05403668763343e-06
51.8,1.00000012703676,2.73122878184304e-06,-1.25657645395558e-06,-2.11554284720167e-06
