# TESS ephemerides
#
# source: examples/ephem/tess.tm
# start:
#  UTC: 2018-04-20T20:00:00
#   ET: 577526469.186
# end:
#  UTC: 2018-06-30T00:00:00
#   ET: 583588869.184
# increment: 3600.0s
#
# time is TESS epoch in seconds
# positions are relative to the solar system barycenter, in km
# velocities in km/s
#
# time, x, y, z, vx, vy, vz
498.746462215,-122443685.335,-78716947.9095,-34169348.411,16.7998931423,-21.7953033201,-9.441329498
498.745027036,-122383187.171,-78795412.4112,-34203335.4249,16.8102173757,-21.7960612157,-9.44033843603
498.743736171,-122322651.63,-78873879.3716,-34237318.8022,16.8206579117,-21.7966702326,-9.43930945777
498.742587633,-122262078.301,-78952348.2652,-34271298.4092,16.8312097187,-21.7971361112,-9.43824399539
498.741579519,-122201466.792,-79030818.5865,-34305274.1169,16.8418680299,-21.797464329,-9.43714342448
498.740710008,-122140816.729,-79109289.8494,-34339245.8013,16.8526283255,-21.7976601182,-9.43600906798
498.739977356,-122080127.751,-79187761.5864,-34373213.3431,16.8634863159,-21.7977284817,-9.43484219926
498.739379895,-122019399.515,-79266233.3473,-34407176.6276,16.8744379262,-21.7976742074,-9.43364404501
498.738916025,-121958631.69,-79344704.699,-34441135.5441,16.8854792821,-21.7975018825,-9.43241578842
498.738584215,-121897823.961,-79423175.2245,-34475089.9865,16.896606697,-21.797215906,-9.43115857169
498.738382996,-121836976.023,-79501644.5223,-34509039.8524,16.9078166601,-21.7968204999,-9.42987349835
498.738310964,-121776087.586,-79580112.2057,-34542985.0436,16.9191058248,-21.7963197211,-9.42856163596
498.73836677,-121715158.37,-79658577.9025,-34576925.4653,16.930470999,-21.7957174708,-9.42722401797
498.738549125,-121654188.107,-79737041.2542,-34610861.0268,16.9419091354,-21.7950175042,-9.4258616459
498.738856792,-121593176.54,-79815501.9156,-34644791.6406,16.9534173229,-21.7942234394,-9.42447549129
498.739288587,-121532123.422,-79893959.5542,-34678717.2229,16.9649927782,-21.7933387655,-9.42306649745
498.739843375,-121471028.514,-79972413.85,-34712637.6931,16.9766328381,-21.7923668505,-9.42163558113
498.740520069,-121409891.591,-80050864.4948,-34746552.9739,16.9883349532,-21.7913109482,-9.42018363424
498.74131763,-121348712.431,-80129311.1919,-34780462.9911,17.0000966806,-21.7901742053,-9.41871152539
498.742235062,-121287490.826,-80207753.6557,-34814367.6737,17.011915678,-21.7889596674,-9.41722010105
498.743271412,-121226226.572,-80286191.6116,-34848266.9536,17.0237896983,-21.7876702852,-9.41571018731
498.744425769,-121164919.477,-80364624.7954,-34882160.7658,17.0357165842,-21.7863089203,-9.41418259091
498.745697263,-121103569.352,-80443052.9528,-34916049.048,17.0476942628,-21.7848783498,-9.41263810051
498.74708506,-121042176.019,-80521475.8397,-34949931.7408,17.0597207416,-21.7833812718,-9.41107748793
498.748588367,-120980739.306,-80599893.2213,-34983808.7875,17.0717941039,-21.7818203102,-9.40950150928
498.750206424,-120919259.048,-80678304.8723,-35017680.1341,17.0839125045,-21.7801980186,-9.40791090581
498.751938509,-120857735.084,-80756710.5765,-35051545.7293,17.0960741663,-21.7785168851,-9.4063064052
498.753783933,-120796167.264,-80835110.1262,-35085405.5244,17.1082773767,-21.7767793357,-9.40468872238
498.755742039,-120734555.439,-80913503.3228,-35119259.4731,17.1205204837,-21.7749877385,-9.40305856043
498.757812204,-120672899.47,-80991889.9759,-35153107.5319,17.1328018936,-21.7731444073,-9.4014166116
