Skipped 224600500 ('sector-17', 'cam4', 'ccd4') TIC not in AN File
Skipped 138968089 ('sector-15', 'cam2', 'ccd3') TIC not in AN File
Skipped 153976959 ('sector-14', 'cam4', 'ccd1') TIC not in AN File
Skipped 154383539 ('sector-15', 'cam4', 'ccd1') TIC not in AN File
Skipped 233617847 ('sector-15', 'cam2', 'ccd1') TIC not in AN File
Skipped 233951353 ('sector-15', 'cam2', 'ccd4') TIC not in AN File
Skipped 294471966 ('sector-15', 'cam2', 'ccd3') TIC not in AN File
Skipped 298073824 ('sector-14', 'cam4', 'ccd2') TIC not in AN File
Skipped 343628284 ('sector-15', 'cam2', 'ccd4') TIC not in AN File
Skipped 356158613 ('sector-15', 'cam1', 'ccd2') TIC not in AN File
Skipped 377293776 ('sector-15', 'cam2', 'ccd2') TIC not in AN File
Skipped 420112589 ('sector-17', 'cam4', 'ccd2') TIC not in AN File
Skipped 188768068 ('sector-17', 'cam4', 'ccd4') TIC not in AN File
Skipped 165551882 ('sector-17', 'cam4', 'ccd4') TIC not in AN File
Skipped 387527558 ('sector-19', 'cam4', 'ccd1') TIC not in AN File
Skipped 259168516 ('sector-15', 'cam2', 'ccd1') TIC not in AN File
Skipped 198384408 ('sector-17', 'cam4', 'ccd4') TIC not in AN File
Skipped 288636342 ('sector-17', 'cam4', 'ccd2') TIC not in AN File
Skipped 224596152 ('sector-17', 'cam4', 'ccd4') TIC not in AN File
Skipped 365673804 ('sector-15', 'cam2', 'ccd1') TIC not in AN File
Skipped 408618999 ('sector-18-spoc', 'cam2', 'ccd1') AstroNetFile DNE
Skipped 198206613 ('sector-17', 'cam4', 'ccd3') TIC not in AN File
Skipped 219860288 ('sector-17', 'cam4', 'ccd3') TIC not in AN File
Skipped 229455001 ('sector-15', 'cam2', 'ccd1') TIC not in AN File
Skipped 232650365 ('sector-15', 'cam2', 'ccd2') TIC not in AN File
