This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Fri Apr 03 07:45:18 2020																																																				
																																																				
TIC ID	TOI	Previous CTOI	Master priority	SG1A priority	SG1B priority	SG2 priority	SG3 priority	SG4 priority	SG5 priority	ACWG priority	TESS Disposition	TFOPWG Disposition	TESS mag	TESS mag error	PCs	Source	RA (degrees)	Dec (degrees)	PM RA (mas/yr)	PM RA error	PM Dec (mas/yr)	PM Dec error	Epoch (BJD)	Epoch error	Period (days)	Period error	Duration (hours)	Duration error	Depth (mmag)	Depth (mmag) error	Depth (ppm)	Depth (ppm) error	Planet Radius (R_Earth)	Planet Radius error	Planet Insolation (Earth flux)	Planet Eq Temp (K)	Planet SNR	Stellar Distance (pc)	Stellar Distance error	Stellar Teff (K)	Stellar Teff error	Stellar log(g) (cm/s2)	Stellar log(g) error	Stellar Radius (R_Sun)	Stellar Radius error	Stellar Metallicity	Stellar Metallicity error	Sectors	Comments	Date TOI Alerted (by TESS Project)	Date TOI Updated (by TESS Project)	Date Modified (by ExoFOP-TESS)
263003176	130.01		1	4	1	5	2	3	4	3	PC		7.4371	0.006	1	spoc	12.546778	-83.743767	139.424	0.056	30.476	0.042	2458336.55957	0.002205	14.339928	0.003271	4.674277	0.530555	0.443928	0.026551	408.789337	24.453753	2.367528	1.131195	115.245193	835.651978	22.53896	57.5846	0.0945	6295.700195	56.480999	4.438		1.14366	0.10287			"1,12,13"	Centroid shift is almost a pixel away but there is no corresponding star in that position. There are two nearby stars Gmag=13 close to the NW and Gmag=18 to the SE. If the transit signal is on target it is a small planet around a bright star.	2018-09-05	2019-12-17	2020-01-16
235037761	131.01		5	5	5	5	5	5	5	5	PC	FP	9.8567	0.006	1	spoc	353.828713	-64.561917	192.826	1.943	-31.069	1.785	2458326.06897	0.000449	6.240662	0.000179	1.569129	0.040222	9.940195	0.251547	9113.476562	231.656555	12.720704	4.591968	66.843452	729.263489	0.815768			4174	172	4.34197	0.433401	0.903104	0.188582			1	V shaped	2018-09-05	2019-12-17	2020-01-16
89020549	132.01		2	4	4	2	2	4	4	3	PC		10.8061	0.006	1	spoc	338.399662	-43.436872	35.553	0.043	-53.055	0.054	2458326.903931	0.001768	2.109307	0.00025	2.068328	0.357938	1.498733	0.091942	1379.432007	84.678192	3.307084	1.646429	687.428894	1305.950439	0.845486	163.678	0.987	5673	188	4.55383	0.4189	0.87924	0.176641			1	Possible centroid shift toward faint star to the SE	2018-09-05	2019-12-17	2020-01-16
219338557	133.01		2	4	4	2	2	4	4	5	PC		9.9762	0.006	1	spoc	354.397374	-58.955078	196.638	0.043	-102.545	0.044	2458327.291382	0.002752	8.1952	0.001473	2.309555	0.457632	1.028066	0.089231	946.435791	82.18145	2.160801	1.917926	24.583944	567.914062	0.821221	48.6326	0.06345	4028	170	4.55902	0.201108	0.708945	0.059908			1		2018-09-05	2019-12-17	2020-01-16
234994474	134.01		1	5	5	5	2	1	4	4	PC		9.22978	0.007	1	spoc	350.028592	-60.065729	-319.961	0.102	-127.781	0.115	2458326.033203	0.001456	1.401461	0.000137	1.264937	0.207902	0.614161	0.041098	565.503296	37.851494	1.583888	0.360332	151.581711	894.914307	0.823193	25.1496	0.0239	3794	69	4.67812	0.063226	0.598	0.018			1	Level 1 candidate	2018-09-05	2019-12-17	2020-01-16
267263253	135.01		5	5	5	5	4	5	5	5	PC	CP	9.2205	0.006	1	spoc	7.328916	-76.304032	-2.97	0.037	6.961	0.031	2458325.783813	0.000208	4.126904	0.000057	4.492686	0.016126	10.9872	0.036277	10068.554688	33.411812	15.947767	2.122716	1454.030396	1574.936768	0.777657	196.852	0.774	6888	204	4.23416	0.355654	1.5479	0.205971			1		2018-09-05	2019-12-17	2020-01-16
410153553	136.01		1	5	5	5	4	1	4	1	PC	CP	11.9238	0.008	1	spoc	340.496204	-69.172108	334.357	0.083	-726.974	0.086	2458325.726074	0.000322	0.46291	0.000011	0.520794	0.106125	5.094966	0.19426	4681.644043	178.904205	1.267697	0.366063	64.621811	723.126953	0.817114	14.8846	0.0113	3043	63	5.09707	0.426694	0.179	0.032			1	Level 1 target. Potential short period small planet around an M dwarf.	2018-09-05	2019-12-17	2020-01-16
176957796	137.01		5	5	5	5	5	5	5	5	PC	FP	10.702	0.006	1	spoc	101.297491	-66.238326	18.528	0.048	-67.531	0.041	2458327.369019	0.004306	4.819018	0.001436	3.035372	0.275922	1.959621	0.17443	1803.249756	160.643341	4.458667	0.842854	99.169487	804.848755	8.547472	88.8838	0.19925	4651	175	4.56937	0.2	0.85824	0.150601			1		2018-09-05	2019-12-17	2020-01-16
277683130	138.01		5	5	5	5	5	5	5	5	PC	FP	9.5739	0.006	1	spoc	328.926018	-61.673257	-23.8	2	2.8	1.9	2458328.058594	0.000797	6.198041	0.000348	2.176782	0.055149	4.048656	0.212282	3722.005859	195.5	8.294924	8.305693	267.799072	1031.744141	17.5	128.488		5722	189	4.35582	2.00367	1.11119	1.11119			1		2018-09-05	2019-12-17	2020-01-16
62483237	139.01		1	4	1	5	4	3	1	2	PC		9.3636	0.006	1	spoc	336.402414	-34.909713	26.43	0.071	-30.255	0.08	2458334.896362	0.001811	11.058421	0.00257	2.136519	0.327214	1.48535	0.109118	1367.122803	100.496696	2.687866	1.814681	24.043659	564.767761	0.888537	42.4061	0.0763	4356	173	4.53491	0.3608	0.738419	0.125859			1	Level 1 candidate	2018-09-05	2019-12-17	2020-01-16
